neighbourhood,city,avg_summer_temp_c,urban_heat_island_delta_c,impervious_surface_pct,tree_canopy_pct,heat_risk_score,cooling_potential_score
Downtown Kitchener,Kitchener,28.4,3.8,82,8,0.92,0.88
Rockway,Kitchener,27.1,2.5,71,14,0.75,0.72
Forest Heights,Kitchener,25.8,1.2,55,28,0.48,0.51
Stanley Park,Kitchener,26.2,1.6,60,22,0.55,0.58
Doon,Kitchener,24.9,0.3,42,38,0.28,0.31
Pioneer Park,Kitchener,27.4,2.8,68,16,0.79,0.76
Idlewood,Kitchener,26.8,2.2,64,19,0.68,0.65
Uptown Waterloo,Waterloo,27.8,3.2,76,11,0.85,0.82
Beechwood,Waterloo,25.6,1.0,51,31,0.42,0.45
Colonial Acres,Waterloo,25.2,0.6,46,35,0.35,0.38
Lakeshore,Waterloo,26.5,1.9,62,20,0.61,0.62
Vista Hills,Waterloo,24.6,0.0,38,42,0.21,0.24
Eastbridge,Waterloo,25.9,1.3,56,27,0.50,0.53
Laurelwood,Waterloo,24.4,-0.2,35,45,0.18,0.20
Cambridge Downtown,Cambridge,28.1,3.5,79,9,0.89,0.86
